role	i	j	affiliation
o	AUST JEROME	2009_ST24	CSO, SCIENCES PO PARIS
o	AUST JEROME	2011_ST12	CSO, SCIENCES PO PARIS
o	AUST JEROME	2019_ST08	CSO, SCIENCES PO PARIS
p	AUST JEROME	2019_ST36	CSO, SCIENCES PO PARIS
p	AUTESSERRE SEVERINE	2015_ST51	COLUMBIA U. (USA)
p	AUVERT ANNE-JULIE	2013_ST2	CRESPPA-GTM, U. PARIS 8
o	AVANZA MARTINA	2009_ST34	CRAPUL-IEPI-IEPHI, U. LAUSANNE (SUISSE) / IRIS, EHESS PARIS & INSERM & U. PARIS 13
p	AVANZA MARTINA	2009_ST39	CRAPUL-IEPI-IEPHI, U. LAUSANNE (SUISSE) / IRIS, EHESS PARIS & INSERM & U. PARIS 13
o	AVANZA MARTINA	2015_ST16	CRAPUL-IEPI-IEPHI, U. LAUSANNE (SUISSE)
o	AVANZA MARTINA	2017_ST2	CRAPUL-IEPI-IEPHI, U. LAUSANNE (SUISSE)
o	AVRIL LOLA	2019_STGRUE	UNIVERSITE PARIS 1
p	AYARI MICHAEL	2009_ST49	IREMAM, U. AIX MARSEILLE 2
d	AYKUT STEFAN	2017_ST17	LISIS, U. PARIS EST MARNE LA VALLEE / CMB, HUMBOLDT U. BERLIN (ALLEMAGNE)
d	AYKUT STEFAN	2017_ST7	LISIS, U. PARIS EST MARNE LA VALLEE / CMB, HUMBOLDT U. BERLIN (ALLEMAGNE)
p	AYME PRUNELLE	2019_ST69	CERI, SCIENCES PO PARIS
p	AYMES MARC	2013_ST2	CETOBAC, EHESS PARIS / COLLEGE DE FRANCE PARIS
p	AZAM NICOLAS	2011_ST32	CESSP-CRPS, U. PARIS 1
p	AZAM NICOLAS	2017_ST55	CESSP-CRPS, U. PARIS 1
p	AZAM NICOLAS	2019_ST71	CESSP
p	BAAMARA LAYLA	2013_ST42	CHERPA, IEP AIX EN PROVENCE
p	BACHELOT CAROLE	2011_ST40	CEE, SCIENCES PO PARIS
p	BACHELOT CAROLE	2013_ST7	ISSP, ENS CACHAN & U. PARIS 10
d	BACHELOT CAROLE	2015_ST21	IRENEE, U. LORRAINE
p	BACHELOT CAROLE	2015_ST8	IRENEE, U. LORRAINE
d	BACHELOT CAROLE	2019_STGACOMPETITIONPOLITIQUE	CERAPS UNIVERSITE LILLE 2
p	BACHTIGER ANDRE	2015_ST24	U. STUTTGART (ALLEMAGNE)
p	BACOT PAUL	2009_ST10	TRIANGLE, ENS-IEP LYON & U. LYON 2
p	BACOT PAUL	2015_ST8	TRIANGLE, ENS-IEP LYON & U. LYON 2
p	BACZKO ADAM	2013_ST12	EHESS PARIS
p	BACZKO ADAM	2015_ST53	EHESS PARIS
p	BACZKO ADAM	2019_STGAVIOLENCESETCONFLITS	PARIS 1, PANTHEON SORBONNE, CESSP
p	BADACHE FANNY	2015_ST54	U. GENEVE (SUISSE)
p	BADOUARD ROMAIN	2015_ST18	U. CERGY PONTOISE
p	BAEZA CECILIA	2009_ST36	CERI, SCIENCES PO PARIS
o	BAEZA CECILIA	2017_ST62	PONTIFICIA U. CATOLICA SAO PAULO (BRESIL)
p	BAGNAUD FRANCOISE	2019_ST21	MILITANTE LGBT FEMINISTE ASSOCIEE AU PROJET DE RECHERCHE
p	BAHCECIK SERIF ONUR	2017_ST65	RELATIONS INTERNATIONALES, MIDDLE EAST TECHNICAL U. ANKARA (TURQUIE)
p	BAILER STEFANIE	2011_ST44	CENTRE COMPARATIVE INTERNATIONAL STUDIES, ZURICH (SUISSE)
p	BAILLAT ALICE	2015_ST33	CERI, SCIENCES PO PARIS
d	BAILLAT ALICE	2017_ST72	SCIENCES PO PARIS
p	BAILLEUX JULIE	2009_ST18	CESSP-CRPS, U. PARIS 1
p	BAILLEUX JULIE	2013_ST56	EUROPEAN U. INSTITUTE FLORENCE (ITALIE)
p	BAILLOT HELENE	2013_ST50	U. PARIS 1
p	BAILLOT HELENE	2015_ST15	CESSP-CRPS, U. PARIS 1
p	BAILLOT HELENE	2019_ST79	IEP AIX EN PROVENCE
p	BAILLY JESSY	2019_ST10	CHERPA
p	BAILLY VICTOR	2017_ST9	GESTE, ENGEES
p	BAISNEE OLIVIER	2011_ST31	LASSP, IEP TOULOUSE
p	BAISNEE OLIVIER	2013_ST42	LASSP, IEP TOULOUSE
p	BAIXAS LIONEL	2013_ST53	CERI, SCIENCES PO PARIS
p	BAIXAS LIONEL	2015_ST47	CERI, SCIENCES PO PARIS
p	BAIXAS LIONEL	2015_ST52	CERI, SCIENCES PO PARIS
p	BAJTAY PETER	2015_ST43	[PARLEMENT EUROPEEN (BELGIQUE)]
p	BALAS MARIE	2017_ST59	DYNAMIQUES EUROPEENNES, U. STRASBOURG
p	BALAUDE ALIENOR	2019_ST06	IEP DE PARIS ET CSO
p	BALAZARD HELENE	2019_STGAINEGALITESETDISCRIMINATIONS	EVS-RIVES, ENS-ENTPE-U. LYON 2 & 3
p	BALL JEREMY	2015_ST52	DICKINSON COLLEGE (USA)
p	BALLAND LUDIVINE	2009_ST29	LASSP, IEP TOULOUSE
o	BALLAND LUDIVINE	2013_ST24	LASSP, IEP TOULOUSE
p	BALLANGE ALIENOR	2015_ST29	CEVIPOF, SCIENCES PO PARIS
p	BALLET MARION	2013_ST27	SCIENCES PO PARIS
p	BALOGE MARTIN	2013_ST8	CESSP-CRPS, U. PARIS 1
p	BALOGE MARTIN	2015_ST20	CESSP-CRPS, U. PARIS 1
p	BALOGE MARTIN	2015_ST28	CESSP-CRPS, U. PARIS 1
p	BALOGE MARTIN	2017_ST37	CESSP-CRPS, U. PARIS 1
p	BALOGE MARTIN	2019_ST37	COMPARE LES PROFILS ET LES TRAJECTOIRES DES DEPUTEES AFD, NEOPHYTES ET PRESENTES COMME AYANT DES PARCOURS DISPARATES BENJAMIN BIARD ET MAXIMILIEN COGELS PRESENTERONT ENSUITE UNE ANALYSE DE LA COMPOSITION ET DE LA PLACE DES CANDIDATES SUR LES LISTES ELECTORALES DU PARLEMENT FEDERAL BELGE DE QUATRE PARTIS DEXTREME DROITE LIJST DEDECKER, VLAAMS BELANG, FRONT NATIONAL, PARTI POPULAIRE
p	BALSIGER PHILIP	2019_ST70	UNIVERSITE DE NEUCHATEL
p	BAN CAROLYN	2015_ST42	U. PITTSBURGH (USA)
p	BANDEIRA COELHO DENILSON	2015_ST43	U. BRASILIA (BRESIL)
p	BANDELOW NILS	2017_ST25	IFS, TECHNISCHE U. BRAUNSCHWEIG (ALLEMAGNE)
p	BANEGAS RICHARD	2009_ST9	U. PARIS 1
p	BANEGAS RICHARD	2015_ST51	CERI, SCIENCES PO PARIS
d	BANTIGNY LUDIVINE	2013_ST25	CHSP, SCIENCES PO PARIS / U. ROUEN
p	BARANETS ELIE	2015_ST60	U. BORDEAUX 4
p	BARAT RAPHAEL	2015_ST25	LARHRA, U. LYON 2
p	BARBERA OSCAR	2011_ST30	U. VALENCIA (ESPAGNE)
p	BARBIER CLEMENT	2017_ST11	CRESPPA-CSU, U. PARIS 8
o	BARBIER CLEMENT	2019_ST09	ANR WORKLOG LABURBA, CERAPS
p	BARBIER JEAN-CLAUDE	2009_ST23	U. PARIS 1
p	BARBIER JEAN-CLAUDE	2009_ST28	U. PARIS 1
p	BARBIER JEAN-CLAUDE	2015_ST38	CES, U. PARIS 1
p	BARBOT JANINE	2015_ST8	CERMES3 VILLEJUIF
o	BARDET FABRICE	2017_ST10	[MINISTERE ENVIRONNEMENT] / EVS-RIVES, ENS-ENTPE-U. LYON 2 & 3
o	BARDET FABRICE	2017_ST11	[MINISTERE ENVIRONNEMENT] / EVS-RIVES, ENS-ENTPE-U. LYON 2 & 3
p	BARDON AURELIA	2013_ST64	SCIENCES PO PARIS
p	BARENBOIM AXEL	2013_ST44	U. PARIS 10
p	BARENBOIM AXEL	2019_ST04	UNIVERSITE PARIS NANTERRE / SOPHIAPOL
p	BARGEAU ADELAIDE	2015_ST17	GSPE-PRISME-SAGE, IEP-U. STRASBOURG
p	BARGEAU ADELAIDE	2017_ST26	GSPE-PRISME-SAGE, IEP-U. STRASBOURG
p	BARGEAU ADELAIDE	2019_STGANORMESETJUSTICE	D SAGE, UNIVERSITE DE STRASBOURG
p	BARGEL LUCIE	2009_ST35	CESSP-CRPS, U. PARIS 1
p	BARGEL LUCIE	2009_ST6	CESSP-CRPS, U. PARIS 1
o	BARGEL LUCIE	2011_ST13	ERMES, U. NICE SOPHIA ANTIPOLIS
p	BARGEL LUCIE	2013_ST33	ERMES, U. NICE SOPHIA ANTIPOLIS
d	BARGEL LUCIE	2015_ST20	ERMES, U. NICE SOPHIA ANTIPOLIS / CESSP-CRPS, U. PARIS 1
o	BARGEL LUCIE	2015_ST3	ERMES, U. NICE SOPHIA ANTIPOLIS / CESSP-CRPS, U. PARIS 1
p	BARISIONE MAURO	2013_ST27	U. MILAN (ITALIE)
NA	BARNIER-KHAWAM PABLO	2019_ST29	NA
NA	BARNIER-KHAWAM PABLO	2019_STGAMONDIALISATIONCIRCULATIONSTRANSNATIONALISATION	NA
p	BARONE SYLVAIN	2013_ST27	G EAU, CIRAD MONTPELLIER
d	BARONE SYLVAIN	2017_ST36	G EAU, CIRAD MONTPELLIER
o	BARONE SYLVAIN	2017_ST7	G EAU, CIRAD MONTPELLIER
p	BARRAULT-STELLA LORENZO	2011_ST35	CESSP-CRPS, U. PARIS 1
p	BARRAULT-STELLA LORENZO	2011_ST38	CESSP-CRPS, U. PARIS 1
p	BARRAULT-STELLA LORENZO	2013_ST13	CESAER, INRA DIJON
p	BARRAULT-STELLA LORENZO	2013_ST26	CESAER, INRA DIJON
