role	i	j	affiliation
p	BARRAULT-STELLA LORENZO	2013_ST30	CESAER, INRA DIJON
o	BARRAULT-STELLA LORENZO	2015_ST17	GSPE-PRISME-SAGE, IEP-U. STRASBOURG
p	BARRAULT-STELLA LORENZO	2015_ST2	GSPE-PRISME-SAGE, IEP-U. STRASBOURG
p	BARRAULT-STELLA LORENZO	2015_ST4	GSPE-PRISME-SAGE, IEP-U. STRASBOURG
d	BARRAULT-STELLA LORENZO	2017_ST29	CRESPPA-CSU, U. PARIS 8
o	BARRAULT-STELLA LORENZO	2017_ST39	CRESPPA-CSU, U. PARIS 8
NA	BARRAULT-STELLA LORENZO	2019_ST10	NA
NA	BARRAULT-STELLA LORENZO	2019_ST16	NA
o	BARRIER JULIEN	2013_ST4	IFE, ENS LYON / TRIANGLE, ENS-IEP LYON & U. LYON 2
p	BARRIERES SARAH	2015_ST49	EHESS PARIS
p	BARRIO ASTRID	2011_ST30	U. VALENCIA (ESPAGNE)
p	BARROCHE JULIEN	2015_ST29	INALCO PARIS
p	BARROS FRANCOISE	2009_ST6	CRESPPA-CSU, U. PARIS 8
a	BARROS-PLATIAU ANA FLAVIA	2013_ST48	NA
p	BARROS-PLATIAU ANA FLAVIA	2015_ST56	IREL, U. BRASILIA (BRESIL)
p	BARTHAS JEREMIE	2013_ST22	QUEEN MARY U. LONDON (ROYAUME-UNI)
p	BASILIEN-GAINCHE MARIE-LAURE	2013_ST63	IEE, U. PARIS 3
p	BASTIN GILLES	2009_ST32	PACTE, IEP GRENOBLE
NA	BAT JEAN-PIERRE	2019_ST64	NA
p	BATAILLE NICOLAS	2017_ST75	CITERES, U. TOURS / CRENAU, ENSA NANTES
p	BATYGIN KIRILL	2013_ST41	PEOPLES FRIENDSHIP U. RUSSIA (RUSSIE)
p	BAUDEWYNS PIERRE	2009_ST13	U. CATHOLIQUE LOUVAIN (BELGIQUE)
p	BAUDEWYNS PIERRE	2009_ST5	U. CATHOLIQUE LOUVAIN (BELGIQUE)
NA	BAUDOT PIERRE-NICOLAS	2019_ST74	NA
p	BAUDOT PIERRE-YVES	2009_ST24	TRIANGLE, ENS-IEP LYON & U. LYON 2 / ISSP, ENS CACHAN & U. PARIS 10
p	BAUDOT PIERRE-YVES	2009_ST27	TRIANGLE, ENS-IEP LYON & U. LYON 2 / ISSP, ENS CACHAN & U. PARIS 10
p	BAUDOT PIERRE-YVES	2009_ST45	TRIANGLE, ENS-IEP LYON & U. LYON 2 / ISSP, ENS CACHAN & U. PARIS 10
p	BAUDOT PIERRE-YVES	2011_ST14	CERAL, U. PARIS 13 / TRIANGLE, ENS-IEP LYON & U. LYON 2
p	BAUDOT PIERRE-YVES	2013_ST37	CESDIP, U. VERSAILLES SAINT QUENTIN / CEE, SCIENCES PO PARIS
o	BAUDOT PIERRE-YVES	2015_ST18	CESDIP, U. VERSAILLES SAINT QUENTIN
o	BAUDOT PIERRE-YVES	2017_ST42	CURAPP-ESS, U. PICARDIE
NA	BAUDOT PIERRE-YVES	2019_ST16	NA
NA	BAUDOT PIERRE-YVES	2019_ST65	NA
p	BAUDUIN BARBARA	2017_ST13	PACTE, U. GRENOBLE ALPES / CMB, HUMBOLDT U. BERLIN (ALLEMAGNE)
p	BAUME SANDRINE	2015_ST25	U. LAUSANNE (SUISSE)
p	BAUMGARTNER FRANK	2013_ST23	U. NORTH CAROLINA CHAPEL HILL (USA)
p	BAYART JEAN-FRANCOIS	2009_ST9	CERI, SCIENCES PO PARIS
d	BAYART JEAN-FRANCOIS	2013_ST55	CERI, SCIENCES PO PARIS
p	BAZIN ANNE	2013_ST43	IEP LILLE / CERAPS, U. LILLE 2
p	BAZIN ANNE	2015_ST51	IEP LILLE / CERAPS, U. LILLE 2
o	BAZIN ANNE	2019_ST11	IEP LILLE / CERAPS, U. LILLE 2
p	BEAL VINCENT	2009_ST26	CERAPSE-TEMIS, U. SAINT ETIENNE
p	BEAL VINCENT	2013_ST19	GSPE-PRISME-SAGE, IEP-U. STRASBOURG
o	BEAL VINCENT	2017_ST9	GSPE-PRISME-SAGE, IEP-U. STRASBOURG
p	BEAU REMI	2017_ST76	SOPHIAPOL, U. PARIS 10
p	BEAUDOIN CHARLOTTE	2019_ST03	IEP DE GRENOBLE
p	BEAUDONNET LAURIE	2009_ST14	EUROPEAN U. INSTITUTE FLORENCE (ITALIE)
d	BEAUDONNET LAURIE	2013_ST26	U. MONTREAL (CANADA)
p	BEAUGE JULIEN	2013_ST29	CURAPP-ESS, U. PICARDIE
p	BEAUGUITTE LAURENT	2015_ST55	IDEES, U. ROUEN
p	BEAUGUITTE LAURENT	2015_ST7	IDEES, U. ROUEN
p	BEAULIEU YANNICK	2009_ST38	EUROPEAN U. INSTITUTE FLORENCE (ITALIE)
p	BEAUMONT AMELIE	2019_ST33	CESSP/CRESPPA CSU, UNIVERSITE PARIS 1
p	BEAUSSIER ANNE-LAURE	2009_ST11	CEPEL, U. MONTPELLIER 1
o	BEAUSSIER ANNE-LAURE	2011_ST44	CEPEL, U. MONTPELLIER 1
o	BEAUSSIER ANNE-LAURE	2013_ST1	CEPEL, U. MONTPELLIER 1
p	BEAUSSIER ANNE-LAURE	2017_ST25	CEPEL, U. MONTPELLIER 1
o	BEAUSSIER ANNE-LAURE	2017_ST6	CEPEL, U. MONTPELLIER 1
p	BEAUVALLET WILLY	2019_ST28	BEAUVALLET WILLY, CELESTINE AUDREY ET ROGER AURELIE COORD
p	BEAUVALLET WILLY	2019_ST78	UNIVERSITE LUMIERE LYON 2, TRIANGLE
p	BEAUVALLET-HADDAD WILLY	2013_ST10	GSPE-PRISME-SAGE, IEP-U. STRASBOURG
o	BEAUVALLET-HADDAD WILLY	2015_ST20	TRIANGLE, ENS-IEP LYON & U. LYON 2
p	BEAUVALLET-HADDAD WILLY	2015_ST27	TRIANGLE, ENS-IEP LYON & U. LYON 2
p	BEAUVALLET-HADDAD WILLY	2017_ST37	TRIANGLE, ENS-IEP LYON & U. LYON 2
p	BEAUZAMY BRIGITTE	2013_ST27	U. WARWICK (ROYAUME-UNI)
p	BECERRA SYLVIA	2019_ST23	CNRS
p	BECHER MICHAEL	2019_ST87	INSTITUTE FOR ADVANCED STUDY IN TOULOUSE
p	BECLARD JULIEN	2009_ST21	IEE, U. LIBRE BRUXELLES (BELGIQUE)
p	BECOT RENAUD	2015_ST14	CMH, EHESS PARIS & ENS PARIS
p	BEDOCK CAMILLE	2013_ST28	EUROPEAN U. INSTITUTE FLORENCE (ITALIE)
p	BEDOCK CAMILLE	2015_ST32	IEP BORDEAUX / LIEPP, SCIENCES PO PARIS
p	BEDOCK CAMILLE	2015_ST6	IEP BORDEAUX / LIEPP, SCIENCES PO PARIS
o	BEDOCK CAMILLE	2017_ST43	U. LIBRE BRUXELLES (BELGIQUE)
o	BEDOCK CAMILLE	2019_ST12	IEP BORDEAUX
p	BEERLI MONIQUE	2019_ST39	NEW SCHOOL NEW YORK (USA) / SCIENCES PO PARIS
p	BEGUE LAURENT	2015_ST8	MSH, U. GRENOBLE ALPES
p	BEGUE LAURENT	2015_ST9	MSH, U. GRENOBLE ALPES
p	BEHAR MAXIME	2019_ST09	UNIVERSITE DE STRASBOURG / SAGE
p	BEHAR MAXIME	2019_ST66	UNIVERSITE DE STRASBOURG, SAGE ; UNIVERSITE PARIS 1, CESSP
p	BEHR VALENTIN	2011_ST50	GSPE-PRISME-SAGE, IEP-U. STRASBOURG
p	BEHR VALENTIN	2013_ST36	GSPE-PRISME-SAGE, IEP-U. STRASBOURG
o	BEHR VALENTIN	2015_ST45	GSPE-PRISME-SAGE, IEP-U. STRASBOURG
p	BEHR VALENTIN	2019_ST17	UNIVERSITE DE VARSOVIE, CENTRE DE CIVILISATION FRANCAISE ET INSTITUT DETUDES SOCIALES ROBERT ZAJONC/ LABORATOIRE SAGE, UMR 7363 STRASBOURG
p	BEHR VALENTIN	2019_ST32	UNIVERSITE DE VARSOVIE
p	BELAALA SELMA	2009_ST31	CERI, SCIENCES PO PARIS
p	BELAID MEHDI	2011_ST6	U. PARIS 1
p	BELANGER LOUIS	2013_ST49	U. LAVAL (CANADA)
p	BELARBI MHAMMED	2009_ST49	U. MOHAMMED V AGDAL RABAT (MAROC)
p	BELBEZIER MYLENE	2019_ST06	UNIVERSITE DE LORRAINE ET 2L2S
d	BELL DUNCAN	2015_ST60	U. CAMBRIDGE (ROYAUME-UNI)
p	BELLEAU MARIE-CLAIRE	2011_ST52	U. LAVAL (CANADA)
p	BELLIER IRENE	2013_ST47	IIAC-LAIOS, EHESS PARIS
p	BELLON ANNE	2015_ST40	CESSP-CRPS, U. PARIS 1
p	BELLON ANNE	2019_ST04	UNIVERSITE PARIS 1 / CESSP
p	BELOMO PELAGIE	2009_ST37	U. CATHOLIQUE AFRIQUE CENTRALE YAOUNDE (CAMEROUN)
p	BELORGEY NICOLAS	2011_ST11	CMH-ETT, EHESS PARIS & ENS PARIS
p	BELORGEY NICOLAS	2011_ST27	CMH-ETT, EHESS PARIS & ENS PARIS
p	BELOT CELINE	2009_ST32	PACTE, IEP GRENOBLE
p	BELOT CELINE	2013_ST26	PACTE, IEP GRENOBLE
d	BELOT CELINE	2013_ST6	PACTE, IEP GRENOBLE
o	BELOT CELINE	2013_ST7	PACTE, IEP GRENOBLE
o	BELOT CELINE	2015_STPOPACT	PACTE, IEP GRENOBLE
p	BELOT CELINE	2019_ST12	PACTE, IEP GRENOBLE
NA	BELOT CELINE	2019_ST88	NA
p	BEN JAFFEL HAGER	2019_ST44	KINGS COLLEGE LONDON
p	BEN MABROUK TAOUFIK	2009_ST122	PACTE, IEP GRENOBLE
p	BEN MANSOUR BADER	2019_ST22	GRCP, U. LAVAL (CANADA)
p	BENAMOUZIG DANIEL	2013_ST15	CSO, SCIENCES PO PARIS
p	BENBOUZID BILEL	2009_ST43	ENTPE LYON
p	BENBOUZID BILEL	2015_ST18	LATTS, ENPC & U. PARIS EST MARNE LA VALLEE
p	BENBOUZID BILEL	2017_ST10	LISIS, U. PARIS EST MARNE LA VALLEE
p	BENBOUZID BILEL	2019_STEPOPE	LABORATOIRE INTERDISCIPLINAIRE SCIENCES INNOVATIONS SOCIETES, UNIVERSITE PARIS EST MARNE LA VALLEE
p	BENDJABALLAH SELMA	2009_ST11	CEE, SCIENCES PO PARIS
o	BENDJABALLAH SELMA	2011_ST44	CEE, SCIENCES PO PARIS
p	BENDJEBBAR PAULINE	2019_ST53	UNIVERSITE PARIS EST
p	BENHAIM YOHANAN	2015_ST19	CESSP-CRPS, U. PARIS 1 / CETOBAC, EHESS PARIS
p	BENHAIM YOHANAN	2017_ST69	CESSP-CRPS, U. PARIS 1
p	BENHAIM YOHANAN	2017_ST71	CESSP-CRPS, U. PARIS 1
p	BENNANI-CHRAIBI MOUNIA	2009_ST49	CRAPUL-IEPI-IEPHI, U. LAUSANNE (SUISSE)
d	BENNINGHOFF MARTIN	2009_ST24	OSPS, U. LAUSANNE (SUISSE)
p	BENNINGHOFF MARTIN	2011_ST12	OSPS, U. LAUSANNE (SUISSE)
p	BENOIT CYRIL	2015_ST15	SPIRIT-CED, IEP-U. BORDEAUX
p	BENOIT CYRIL	2015_ST32	SPIRIT-CED, IEP-U. BORDEAUX
p	BENOIT CYRIL	2017_ST18	SPIRIT-CED, IEP-U. BORDEAUX / U. ROUEN
p	BENOIT CYRIL	2017_ST38	SPIRIT-CED, IEP-U. BORDEAUX / U. ROUEN
p	BENOIT CYRIL	2019_ST01	CEE, SCIENCES PO PARIS
o	BENOIT CYRIL	2019_ST13	CEE, SCIENCES PO PARIS
p	BENOIT CYRIL	2019_ST78	CEE, SCIENCES PO PARIS
c	BENOIT CYRIL	2019_STGRUE	BENOIT CYRIL CEE, SCIENCES PO PARIS
p	BENOIT MAUDE	2015_ST2	U. MONTPELLIER 1 / U. LAVAL (CANADA)
p	BENOIT MAUDE	2019_ST43	U. QUEBEC MONTREAL (CANADA)
p	BENOIT MAUDE	2019_ST53	U. QUEBEC MONTREAL (CANADA)
p	BENQUET MARLENE	2009_ST8	CMH, EHESS PARIS & ENS PARIS
p	BENVEGNU NICOLAS	2009_ST43	MINES PARISTECH
p	BENVEGNU NICOLAS	2013_ST31	MEDIALAB, SCIENCES PO PARIS / TELECOM PARISTECH
p	BENVEGNU NICOLAS	2017_ST16	MEDIALAB, SCIENCES PO PARIS
p	BENVEGNU NICOLAS	2019_ST27	MEDIALAB, SCIENCES PO PARIS
p	BERARD JEAN	2013_ST33	[FONDS EXPERIMENTATION JEUNESSE] / CRH, U. PARIS 8
o	BERARD YANN	2013_ST20	CRPLC, U. ANTILLES GUYANE
p	BERARD YANN	2017_ST6	CRPLC, U. ANTILLES GUYANE
p	BERAUD-SUDREAU LUCIE	2015_ST32	CERSA, U. PARIS 2 / [DIRECTION GENERALE ARMEMENT]
p	BERAUD-SUDREAU LUCIE	2015_ST33	CERSA, U. PARIS 2 / [DIRECTION GENERALE ARMEMENT]
d	BERENI LAURE	2019_ST19	CENTRE MAURICE HALBWACHS, CNRS
o	BERENI LAURE	2019_STGAINEGALITESETDISCRIMINATIONS	CNRS/CMH
p	BERGAMASCHI ISALINE	2009_ST32	CERI, SCIENCES PO PARIS
p	BERGAMASCHI ISALINE	2011_ST15	CERI, SCIENCES PO PARIS
p	BERGAMASCHI ISALINE	2015_ST51	U. LOS ANDES BOGOTA (COLOMBIE)
p	BERGERON HENRI	2009_ST22	CSO, SCIENCES PO PARIS
p	BERGERON HENRI	2011_ST16	CSO, SCIENCES PO PARIS
p	BERGERON HENRI	2011_ST23	CSO, SCIENCES PO PARIS
p	BERGERON HENRI	2013_ST17	CSO, SCIENCES PO PARIS
p	BERGES MICHEL	2011_ST1	U. BORDEAUX 4 / GRSG
p	BERJAUD CLEMENTINE	2013_ST26	CESSP-CRPS, U. PARIS 1
p	BERJAUD CLEMENTINE	2013_ST6	CESSP-CRPS, U. PARIS 1
p	BERJAUD CLEMENTINE	2015_ST58	CESSP-CRPS, U. PARIS 1
p	BERJAUD CLEMENTINE	2017_ST39	CESSP-CRPS, U. PARIS 1
p	BERMUDEZ ANASTASIA	2015_ST5	U. LIEGE (BELGIQUE)
p	BERNADOU VANESSA	2009_ST46	IRISSO, U. PARIS 9
o	BERNADOU VANESSA	2019_STFOLO	UNIVERSITE PARIS DAUPHINE
p	BERNADOU VANESSA	2019_STGADEMOCRATIESETAUTORITARISMES	IRISSO, U. PARIS 9
p	BERNARD LAURA	2015_ST4	ESPACE, U. AVIGNON
p	BERNARD SOPHIE	2019_ST33	IRISSO, U. PARIS 9
d	BERNARDIN STEVE	2013_ST21	CESSP-CRPS, U. PARIS 1
p	BERNIER ANDRE	2017_ST75	U. OTTAWA (CANADA)
p	BERNIER NICOLE	2009_ST14	ECOLE SANTE PUBLIQUE, U. MONTREAL (CANADA)
p	BERNY NATHALIE	2009_ST41	SPIRIT-CED, IEP-U. BORDEAUX
p	BERNY NATHALIE	2011_ST16	SPIRIT-CED, IEP-U. BORDEAUX
p	BERNY NATHALIE	2013_ST50	SPIRIT-CED, IEP-U. BORDEAUX
p	BERNY NATHALIE	2013_ST62	SPIRIT-CED, IEP-U. BORDEAUX
o	BERNY NATHALIE	2019_ST14	SPIRIT-CED, IEP-U. BORDEAUX
c	BERNY NATHALIE	2019_ST87	SPIRIT-CED, IEP-U. BORDEAUX
o	BEROUD SOPHIE	2011_ST39	TRIANGLE, ENS-IEP LYON & U. LYON 2
p	BEROUD SOPHIE	2013_ST37	TRIANGLE, ENS-IEP LYON & U. LYON 2
o	BEROUD SOPHIE	2015_ST14	TRIANGLE, ENS-IEP LYON & U. LYON 2
p	BEROUD SOPHIE	2017_ST59	TRIANGLE, ENS-IEP LYON & U. LYON 2
p	BEROUD SOPHIE	2019_ST19	TRIANGLE, UNIVERSITE LYON 2
p	BERRIET-SOLLIEC MARIELLE	2011_ST17	AGROSUP DIJON / CESAER, INRA DIJON
p	BERTHAUD PIERRE	2013_ST49	CREG, U. GRENOBLE ALPES
p	BERTHET THIERRY	2009_ST121	SPIRIT-CED, IEP-U. BORDEAUX
p	BERTHET THIERRY	2009_ST122	SPIRIT-CED, IEP-U. BORDEAUX
o	BERTHET THIERRY	2015_ST39	SPIRIT-CED, IEP-U. BORDEAUX
p	BERTHONNEAU CHARLES	2015_ST14	LEST, U. AIX MARSEILLE 2
p	BERTHONNEAU CHARLES	2019_ST33	LEST, AIX MARSEILLE UNIVERSITE
p	BERTHOUD MARIE	2019_ST49	GERIICO, UNIVERSITE DE LILLE
p	BERTILLOT HUGO	2015_ST31	CSO, SCIENCES PO PARIS
p	BERTILLOT HUGO	2017_ST22	EHESP RENNES
p	BERTINA LUDOVIC	2017_ST58	GSRL, EPHE PARIS
p	BERTRAND GILLES	2009_ST32	SPIRIT-CED, IEP-U. BORDEAUX
p	BERTRAND GILLES	2009_ST36	SPIRIT-CED, IEP-U. BORDEAUX
p	BERTRAND GILLES	2011_ST2	SPIRIT-CED, IEP-U. BORDEAUX
p	BERTRAND GILLES	2011_ST7	SPIRIT-CED, IEP-U. BORDEAUX
p	BERTRAND GILLES	2013_ST48	SPIRIT-CED, IEP-U. BORDEAUX
p	BERTRAND GILLES	2017_ST66	SPIRIT-CED, IEP-U. BORDEAUX
o	BERTRAND GILLES	2019_ST15	SPIRIT-CED, IEP-U. BORDEAUX
d	BERTRAND ROMAIN	2009_ST35	CERI, SCIENCES PO PARIS
d	BERTRAND ROMAIN	2009_ST44	CERI, SCIENCES PO PARIS
p	BERTRAND ROMAIN	2009_ST50	CERI, SCIENCES PO PARIS
o	BERTRAND ROMAIN	2009_ST9	CERI, SCIENCES PO PARIS
p	BERUT CHLOE	2017_ST25	PACTE, IEP GRENOBLE
p	BERUT CHLOE	2019_ST84	PACTE, IEP GRENOBLE
p	BESCONT AMELIE	2017_ST28	CEVIPOF, SCIENCES PO PARIS
p	BESSARD RUDY	2015_ST8	CENTRE MONTESQUIEU
p	BESSIERE CELINE	2011_ST52	IRISSO, U. PARIS 9 / CMH, EHESS PARIS & ENS PARIS
p	BESSIERE CELINE	2013_ST25	IRISSO, U. PARIS 9 / CMH, EHESS PARIS & ENS PARIS
p	BESSIERE CELINE	2015_ST17	IRISSO, U. PARIS 9 / CMH, EHESS PARIS & ENS PARIS
p	BESSONE MAGALI	2011_ST21	U. RENNES 1
p	BESSONE MAGALI	2013_ST43	U. RENNES 1
p	BETTAHAR YAMINA	2019_ST36	UNIVERSITE DE LORRAINE NANCY
p	BEUNARDEAU PAULINE	2013_ST2	CSPRP, U. PARIS 7
NA	BEUSCART JEAN-SAMUEL	2019_ST07	NA
p	BEZANNIER FRANCK	2013_ST21	[PARC NATUREL REGIONAL BALLONS VOSGES]
p	BEZES PHILIPPE	2009_ST14	CERSA, U. PARIS 2
d	BEZES PHILIPPE	2009_ST20	CERSA, U. PARIS 2
d	BEZES PHILIPPE	2009_ST25	CERSA, U. PARIS 2
o	BEZES PHILIPPE	2011_ST11	CERSA, U. PARIS 2
d	BEZES PHILIPPE	2013_ST4	CERSA, U. PARIS 2
d	BEZES PHILIPPE	2013_ST8	CERSA, U. PARIS 2
e	BEZES PHILIPPE	2015_ST18	CERSA, U. PARIS 2
o	BEZES PHILIPPE	2015_ST32	CERSA, U. PARIS 2
p	BEZES PHILIPPE	2017_ST22	CEE, SCIENCES PO PARIS
p	BEZES PHILIPPE	2017_ST4	CEE, SCIENCES PO PARIS
o	BEZES PHILIPPE	2019_ST16	CEE, SCIENCES PO PARIS
NA	BEZES PHILIPPE	2019_ST88	NA
p	BHERER LAURENCE	2009_ST122	U. MONTREAL (CANADA)
p	BIAD ABDELWAHAB	2015_ST43	U. ROUEN
p	BIALE ENRICO	2013_ST31	U. PIEMONTE ORIENTALE (ITALIE)
p	BIARD BENJAMIN	2019_ST37	ET MAXIMILIEN COGELS PRESENTERONT ENSUITE UNE ANALYSE DE LA COMPOSITION ET DE LA PLACE DES CANDIDATES SUR LES LISTES ELECTORALES DU PARLEMENT FEDERAL BELGE DE QUATRE PARTIS DEXTREME DROITE LIJST DEDECKER, VLAAMS BELANG, FRONT NATIONAL, PARTI POPULAIRE
p	BIAVA ALESSIA	2009_ST21	INSTITUT EUROPEEN, U. GENEVE (SUISSE)
p	BIDAUD CECILE	2011_ST18	GRED, IRD
p	BIDAUD CECILE	2013_ST18	GRED, IRD
p	BIDEGAIN GERMAN	2019_ST02	ET MARTIN FREIGEDO INSTITUTO DE CIENCIA POLITICA, UNIVERSIDAD DE LA REPUBLICA, URUGUAY
p	BIGDAY MARIA	2011_ST48	GSPE-PRISME-SAGE, IEP-U. STRASBOURG
o	BIGO DIDIER	2013_ST52	SCIENCES PO PARIS / KINGS COLLEGE LONDON (ROYAUME-UNI)
p	BIGO DIDIER	2017_ST18	SCIENCES PO PARIS
p	BIGOMBE LOGO PATRICE	2019_ST61	ET DIEUDONNE TOUKEA CERAD, UNIVERSITE DE DOUALA CAMEROUN
p	BIGORGNE MARIE	2019_ST58	ET NICOLAS MAISETTI UNIVERSITE PARIS EST, LATTS
p	BIL MONIKA	2013_ST41	U. SUSSEX (ROYAUME-UNI)
p	BILAND EMILIE	2009_ST45	CMH, EHESS PARIS & ENS PARIS
p	BILAND EMILIE	2011_ST42	U. LAVAL (CANADA) / CMH, EHESS PARIS & ENS PARIS
o	BILAND EMILIE	2011_ST52	U. LAVAL (CANADA) / CMH, EHESS PARIS & ENS PARIS
p	BILAND EMILIE	2013_ST5	U. LAVAL (CANADA)
p	BILAND EMILIE	2015_ST17	CRAPE-ARENES, EHESP-IEP-U. RENNES 1 & 2
d	BILAND EMILIE	2017_ST45	CRAPE-ARENES, EHESP-IEP-U. RENNES 1 & 2
p	BILAND EMILIE	2017_ST8	CRAPE-ARENES, EHESP-IEP-U. RENNES 1 & 2
p	BILELLA MARIO	2017_ST47	CESSP-CRPS, U. PARIS 1
p	BILLAUD JULIE	2019_ST79	UNIVERSITY OF SUSSEX
o	BILLOWS SEBASTIAN	2015_ST40	CSO, SCIENCES PO PARIS
p	BILLOWS SEBASTIAN	2017_ST5	CSO, SCIENCES PO PARIS
p	BIRANTAMIJE GERARD	2013_ST54	U. LIBRE BRUXELLES (BELGIQUE)
p	BIRCK JEAN-NICOLAS	2011_ST31	IRENEE, U. LORRAINE
p	BIRMAN JOEL	2009_ST51	U. ESTADO RIO DE JANEIRO (BRESIL) / U. FEDERAL RIO DE JANEIRO (BRESIL) / [PSYCHANALYSTE]
p	BIRNBAUM PIERRE	2009_ST3	U. PARIS 1 / COLUMBIA U. (USA)
p	BISCHOF DANIEL	2013_ST7	U. LEICESTER (ROYAUME-UNI)
p	BISKUPOVIC CONSUELO	2015_ST8	IRIS, EHESS PARIS & INSERM & U. PARIS 13
p	BISOPOULOS ANASTASIOS	2011_ST27	[DG EMPLOI AFFAIRES SOCIALES INCLUSION, COMMISSION EUROPEENNE]
p	BISSON DAVID	2017_ST57	IDPSP, U. RENNES 1
p	BISSON DAVID	2019_ST26	UNIV RENNES 1, IDPSP
p	BITTMAN SIMON	2019_STGAREGULATIONSMARCHESCAPITALISMES	N CEE, SCIENCES PO PARIS
p	BLAIS ANDRE	2019_ST46	U. MONTREAL (CANADA)
o	BLAIS HELENE	2011_ST36	U. PARIS 10
p	BLAIVE MURIEL	2019_ST17	INSTITUTE FOR THE STUDY OF TOTALITARIAN REGIMES USTR
p	BLANC FELIX	2013_ST61	CESPRA, EHESS PARIS / IRSEM PARIS
p	BLANC FELIX	2015_ST60	U. NICE SOPHIA ANTIPOLIS
o	BLANC FELIX	2019_STFOLO	CESPRA/EHESS
o	BLANC FELIX	2019_STGADEMOCRATIESETAUTORITARISMES	CENTRE DETUDES SOCIOLOGIQUES ET POLITIQUES RAYMOND ARON, UMR 8036
p	BLANCANEAUX ROMAIN	2019_ST49	SPIRIT-CED, IEP-U. BORDEAUX
p	BLANCHARD EMMANUEL	2009_ST46	CHS, U. PARIS 1
p	BLANCHARD EMMANUEL	2019_STGANORMESETJUSTICE	CESDIP, U. VERSAILLES SAINT QUENTIN / IEP SAINT GERMAIN EN LAYE
p	BLANCHARD PHILIPPE	2009_ST40	U. LAUSANNE (SUISSE)
p	BLANCHARD PHILIPPE	2013_ST52	U. LAUSANNE (SUISSE)
o	BLATRIX CECILE	2011_ST17	AGROPARISTECH PARIS / CESSP-CRPS, U. PARIS 1
p	BLAVIER PIERRE	2019_ST33	CLERSE, U. LILLE 1
p	BLAVIER PIERRE	2019_ST46	CLERSE, U. LILLE 1
p	BLED AMANDINE	2009_ST41	SPIRIT-CED, IEP-U. BORDEAUX
p	BLEVIS LAURE	2011_ST42	ISSP, ENS CACHAN & U. PARIS 10
p	BLEVIS LAURE	2011_ST9	ISSP, ENS CACHAN & U. PARIS 10
p	BLOM AMELIE	2009_ST47	LAHORE U. MANAGEMENT SCIENCES (PAKISTAN)
d	BLOM AMELIE	2013_ST53	IISMM, EHESS PARIS / CAMPUS HAVRE, SCIENCES PO PARIS
p	BLOM AMELIE	2015_ST8	CEIAS, EHESS PARIS
p	BLONDIAUX LOIC	2011_ST1	CESSP-CRPS, U. PARIS 1
d	BLONDIAUX LOIC	2011_ST37	CESSP-CRPS, U. PARIS 1
d	BLONDIAUX LOIC	2011_ST39	CESSP-CRPS, U. PARIS 1
c	BLONDIAUX LOIC	2015_ST24	CESSP-CRPS, U. PARIS 1
p	BLOQUET CLAIRE	2019_ST35	CESSP PARIS 1 PANTHEON SORBONNE
p	BLOQUET CLAIRE	2019_STFOLO	CESSP, UNIVERSITE PARIS 1 PANTHEON SORBONNE
p	BLOUIN GABRIEL	2017_ST15	VIRGINIA TECH (USA)
p	BLOUIN GENEST GABRIEL	2013_ST47	U. OTTAWA (CANADA)
p	BLUMENBERG MANUELA	2015_STRC20IPSA	GESIS MANNHEIM (ALLEMAGNE)
p	BOATRIGHT ROBERT	2013_ST41	CLARK U. (USA)
p	BOATRIGHT ROBERT	2015_STRC20IPSA	CLARK U. (USA)
p	BOBBA GIULIANO	2015_ST21	U. TURIN (ITALIE)
p	BOCCON-GIBOD THOMAS	2013_ST55	[LYCEE JEAN MOULIN LES ANDELYS] / U. PARIS 10
p	BOCCON-GIBOD THOMAS	2017_ST59	SOPHIAPOL, U. PARIS 10
p	BOCQUILLON PIERRE	2015_ST35	U. CAMBRIDGE (ROYAUME-UNI)
p	BOELAERT JULIEN	2019_ST04	UNIVERSITE DE LILLE / CERAPS
p	BOESCHEN STEFAN	2013_ST21	U. AUGSBURG (ALLEMAGNE)
p	BOEX CECILE	2011_ST48	IREMAM, U. AIX MARSEILLE 2 / IFPO
p	BOHIGUES ASBEL	2019_ST03	BOHIGUES UNIVERSITE DE SALAMANQUE
p	BOHUON ANAIS	2013_ST33	SPOTS, U. PARIS 11
d	BOIGEOL ANNE	2011_ST52	ISSP, ENS CACHAN & U. PARIS 10
o	BOILEVE FELIX	2019_ST52	MINES PARISTECH
p	BOILY FREDERIC	2013_ST61	U. ALBERTA (CANADA)
p	BOILY FREDERIC	2019_ST20	UNIVERSITE DE LALBERTA
d	BOISSEAUX STEPHANE	2009_ST121	CRAPUL-IEPI-IEPHI, U. LAUSANNE (SUISSE) / IDHEAP LAUSANNE (SUISSE)
p	BOLLENOT VINCENT	2019_ST86	UNIVERSITE PARIS 1 / SIRICE
p	BONARD YVES	2009_ST26	GEOGRAPHIE, U. LAUSANNE (SUISSE)
p	BONCOURT THIBAUD	2011_ST1	SPIRIT-CED, IEP-U. BORDEAUX
p	BONCOURT THIBAUD	2013_ST52	SPIRIT-CED, IEP-U. BORDEAUX
o	BONCOURT THIBAUD	2013_ST54	SPIRIT-CED, IEP-U. BORDEAUX
p	BONDAZ ANTOINE	2013_ST48	CERI, SCIENCES PO PARIS / ASIA CENTRE
